id, user_id,loo_id,issue_type,comment,picture_url,state,source,gender,resolved_at,created_at,updated_at
1,Y8047,23,broken,,,pending,hardware,female,,1455251853968,1458295736835
2,S937,81,no water,,,resolved,app,male,1457582923106,1457115874795,1452936488463
3,M4001,97,dirty,,,pending,app,male,,1457713531497,1459899113102
4,U3952,73,no soap,,,resolved,hardware,male,1458342823700,1457454340736,1457645701185
5,O2654,7,dirty,,,resolved,app,male,1458877112845,1458147118721,1458257068218
6,A8843,48,broken,,,resolved,app,male,1459075117349,1458737029752,1459607098961
7,R764,44,no soap,,,resolved,app,male,1459441041745,1458673653615,1457231518384
8,F9310,51,broken,,,pending,app,female,,1457152511823,1454695816976
9,I2736,99,dirty,,,pending,hardware,female,,1456938998465,1458110908268
10,J4579,23,dirty,,,resolved,app,male,1453999371475,1453408495300,1459150754333
11,X5796,31,no water,,,pending,hardware,male,,1455877641665,1460292470723
12,Z1241,1,no water,,,resolved,app,male,1460020892290,1459776459195,1459793070820
13,I9607,59,no soap,,,pending,hardware,male,,1454606803167,1454816441894
14,H5543,46,no soap,,,pending,app,female,,1458778041375,1459793280239
15,N1872,61,no soap,,,pending,app,female,,1457025437764,1458759840543
16,Q243,25,no water,,,resolved,hardware,male,1458882344697,1458202927898,1453923172959
17,P7095,28,no soap,,,pending,app,male,,1455251826499,1459716393394
18,I6891,67,dirty,,,resolved,app,male,1460754768493,1459946401091,1458243102626
19,B4422,22,no soap,,,resolved,hardware,female,1458572456355,1453046698911,1454271583787
20,A3308,74,dirty,,,resolved,hardware,female,1459058579336,1458465498254,1457381287878
21,U2164,67,broken,,,pending,app,male,,1456148073178,1456265087748
22,Y7044,76,no soap,,,pending,app,male,,1459065771047,1458801709826
23,K5178,1,broken,,,pending,hardware,female,,1453529503504,1455955185378
24,W9151,23,no water,,,pending,app,female,,1453207637119,1460283747642
25,B2142,51,no water,,,pending,hardware,male,,1452921463301,1456943016931
26,T727,65,no water,,,resolved,hardware,male,1459713307432,1459187998246,1453719694514
27,M6890,29,no water,,,pending,hardware,male,,1454136458355,1456084009894
28,W4219,68,broken,,,resolved,app,female,1454870073355,1454738477147,1459090745650
29,X6091,10,no soap,,,resolved,hardware,female,1459276293755,1458880285886,1453114342618
30,K1047,40,no soap,,,resolved,hardware,male,1457233541413,1455099744848,1457163819583
31,T7432,53,no water,,,resolved,app,female,1460241987300,1455002121103,1456089407043
32,B4565,76,no soap,,,resolved,app,male,1460277199402,1457437742736,1460186939195
33,P5941,55,dirty,,,pending,app,female,,1455375627787,1452643784801
34,K9583,84,dirty,,,resolved,hardware,female,1459763256482,1456585305615,1456365450884
35,F2201,4,no soap,,,pending,hardware,female,,1456420474019,1456534024774
36,U1981,9,broken,,,pending,hardware,male,,1460155778249,1458530902259
37,U8133,61,no water,,,resolved,app,male,1459427895153,1456426949288,1455966101319
38,A1549,6,broken,,,resolved,hardware,female,1458592523264,1458243509246,1455813952833
39,Q6509,49,broken,,,pending,app,male,,1455787935280,1453421695616
40,X7790,92,no soap,,,resolved,hardware,male,1460006038355,1454620685928,1459592702786
41,G319,19,dirty,,,resolved,app,male,1458299665532,1457964443887,1458949542499
42,L4384,37,no soap,,,pending,hardware,male,,1457070878981,1457881286902
43,L3040,70,no water,,,resolved,app,female,1457757043787,1455047926280,1453556836820
44,C8410,88,no soap,,,resolved,hardware,male,1455473703582,1453092380484,1456205265882
45,E2352,79,no soap,,,pending,hardware,female,,1453232610826,1455963696507
46,K4676,34,no water,,,resolved,hardware,female,1456713347500,1456588252088,1459868309253
47,R5888,84,dirty,,,resolved,app,female,1458461015558,1456286975382,1452694901576
48,E8661,69,no soap,,,resolved,hardware,female,1459660306060,1459129638563,1453910618865
49,T4677,16,no water,,,resolved,hardware,female,1456683705539,1454839307356,1457077114739
50,H6683,4,no soap,,,pending,hardware,male,,1453644306928,1459051834887
51,G4734,50,dirty,,,resolved,app,male,1459650744191,1459603722608,1453428755787
52,X7569,40,no water,,,resolved,hardware,male,1459328137248,1458338379385,1458396177725
53,X7565,20,dirty,,,resolved,app,female,1455545025341,1454700267308,1457744505784
54,P4159,32,dirty,,,resolved,hardware,male,1458780232613,1454190858410,1453019136621
55,U9610,82,broken,,,pending,hardware,male,,1452834933786,1460276182083
56,B3258,41,no water,,,pending,hardware,female,,1459701897954,1454807415343
57,N1969,66,dirty,,,pending,hardware,male,,1457932423059,1457504628975
58,M8101,56,no soap,,,resolved,app,female,1460217422245,1459644414495,1458043340122
59,G7913,69,dirty,,,resolved,app,female,1458780302375,1458196569115,1453700468826
60,Z4899,13,no soap,,,resolved,app,male,1452908755539,1452822420956,1459230724723
61,F5265,7,broken,,,resolved,app,female,1454270710919,1453640242855,1453168728281
62,K9828,0,dirty,,,resolved,hardware,male,1459708335433,1456109241893,1459800226239
63,F2185,1,no water,,,pending,hardware,female,,1452912842054,1453348477577
64,B2321,81,no water,,,pending,app,female,,1458500195145,1454193269416
65,R1330,90,no water,,,pending,hardware,female,,1456721438952,1459821933962
66,Y23,69,no soap,,,pending,hardware,female,,1459160611012,1456814474167
67,L3960,64,dirty,,,pending,hardware,male,,1456653370689,1452731933924
68,A8312,3,broken,,,pending,app,male,,1454713690404,1454562829915
69,N4630,21,dirty,,,resolved,hardware,female,1458358711903,1458126229226,1457112307658
70,U5119,90,dirty,,,resolved,hardware,female,1459959969521,1458356187931,1453927163429
71,Q3441,27,no water,,,resolved,app,male,1459744593359,1459734846297,1459852163624
72,V1619,95,dirty,,,pending,hardware,male,,1460329406466,1458821195593
73,F5020,78,no water,,,pending,hardware,female,,1459585115972,1460272085706
74,J2925,99,broken,,,resolved,hardware,male,1458502984922,1458470967925,1459535145611
75,K329,25,broken,,,pending,hardware,female,,1452936062857,1455150882946
76,H7207,96,no soap,,,resolved,hardware,female,1460577824436,1460186982348,1454948971733
77,I5866,23,no water,,,pending,app,female,,1453319044536,1460225710346
78,K5455,64,broken,,,pending,hardware,male,,1458087559590,1459181870892
79,Y3224,5,no water,,,pending,app,male,,1456923665607,1455037924256
80,J8554,25,no soap,,,resolved,hardware,male,1460083034398,1459704224954,1458333546439
81,M311,51,dirty,,,resolved,hardware,female,1459260352021,1457515633571,1453216738953
82,H7033,62,no soap,,,pending,app,male,,1457706604714,1457670287205
83,A9722,89,no water,,,pending,hardware,male,,1459005964945,1454593268221
84,N4528,81,broken,,,pending,app,female,,1456204116114,1455894111814
85,V2333,25,no soap,,,resolved,hardware,female,1459232595008,1457958559142,1452955608111
86,E5637,89,no water,,,resolved,app,female,1460122001741,1459363788416,1455187098184
87,N7832,23,dirty,,,pending,app,female,,1454313046456,1453921993065
88,Q3495,6,broken,,,pending,hardware,female,,1452649274402,1457945156631
89,U9086,76,no soap,,,resolved,app,female,1456968104274,1456806789781,1456573991031
90,G1535,2,no soap,,,resolved,app,female,1456314771974,1455661416771,1455909307257
91,G1458,9,no water,,,pending,app,male,,1459299893355,1458544807638
92,W5044,46,no soap,,,resolved,hardware,male,1459235964305,1453434608890,1454548204310
93,X6549,79,broken,,,pending,app,male,,1459114225567,1453682344288
94,M267,82,no soap,,,pending,hardware,male,,1453843337354,1452729721421
95,V5679,41,no soap,,,pending,app,male,,1459410157958,1458447922537
96,G110,86,no water,,,pending,app,female,,1458749320045,1455730583541
97,V4079,90,no water,,,resolved,hardware,male,1460040293564,1459495470527,1455988073365
98,T40,51,no water,,,resolved,app,male,1459779146070,1457881052674,1459765766943
99,G8215,3,no water,,,resolved,app,female,1458386655237,1458331484956,1453163464896
100,N4521,68,no water,,,resolved,app,female,1456779625124,1456644519114,1453424355123
101,Y2651,46,no water,,,pending,app,female,,1453456426082,1457115720410
102,A2713,57,dirty,,,resolved,app,female,1455648480704,1455024635976,1457831155445
103,K2992,86,broken,,,resolved,app,male,1459502543782,1458742773826,1456970294913
104,Y1046,11,no water,,,resolved,app,female,1455376357786,1454927418838,1458776421983
105,K511,42,broken,,,resolved,hardware,male,1460304084582,1453959341400,1459010228153
106,V4145,68,no water,,,pending,app,female,,1456832670731,1455109317971
107,T3895,15,dirty,,,resolved,app,male,1458884581627,1458262008349,1458439383843
108,P5129,53,no soap,,,pending,app,male,,1457433084301,1457738354061
109,I3980,66,no water,,,pending,hardware,female,,1454180603392,1453517876845
110,S3103,77,dirty,,,resolved,app,female,1460051669661,1459562788705,1459651484767
111,A8289,84,dirty,,,resolved,app,female,1457192920994,1453311978542,1457035267583
112,N9227,33,no soap,,,pending,app,female,,1453534482457,1456596294937
113,U517,67,broken,,,resolved,hardware,female,1459842513073,1459543189935,1455146631950
114,T4315,18,no soap,,,resolved,hardware,female,1459869297299,1458676630377,1457155531573
115,J882,33,no water,,,pending,hardware,male,,1459102679004,1456395743385
116,K4946,85,broken,,,pending,app,male,,1453890085394,1455473273754
117,I5435,20,no water,,,pending,app,female,,1455389112672,1455730878206
118,J6112,42,no water,,,pending,hardware,female,,1457406158882,1457239865995
119,E7340,50,no water,,,pending,app,female,,1458526788418,1453602020651
120,R2798,21,broken,,,pending,hardware,female,,1455551759351,1458135578664
121,Y7436,0,no soap,,,pending,hardware,male,,1460232465570,1454797159315
122,S9947,36,no water,,,pending,hardware,female,,1454646140554,1458712604552
123,Y4395,24,no soap,,,pending,app,male,,1455253960505,1454458839154
124,G7717,28,no soap,,,pending,hardware,female,,1454213336556,1458855138514
125,C1389,31,dirty,,,pending,app,male,,1460349200317,1452791422469
126,V7139,75,no soap,,,pending,hardware,male,,1454238684410,1458170572001
